trip_id,stop_id,arrival_time,departure_time,stop_sequence
4837952,45,5:47:00,5:47:00,1
4837952,46,5:49:00,5:49:00,2
4837952,47,5:50:00,5:50:00,3
4837952,48,5:51:00,5:51:00,4
4837952,50,5:52:00,5:52:00,5
4837952,52,5:54:00,5:54:00,6
4837952,53,5:55:00,5:55:00,7
4837952,54,5:56:00,5:56:00,8
4837952,55,5:56:00,5:56:00,9
4837952,67,5:57:00,5:57:00,10
4837952,68,5:58:00,5:58:00,11
4837952,69,5:59:00,5:59:00,12
4837952,70,5:59:00,5:59:00,13
4837952,71,6:00:00,6:00:00,14
4837952,72,6:00:00,6:00:00,15
4837952,73,6:01:00,6:01:00,16
4837952,74,6:02:00,6:02:00,17
4837952,75,6:03:00,6:03:00,18
4837952,76,6:04:00,6:04:00,19
4837952,77,6:04:00,6:04:00,20
4837952,78,6:05:00,6:05:00,21
4837952,79,6:06:00,6:06:00,22
4837952,81,6:07:00,6:07:00,23
4837952,82,6:08:00,6:08:00,24
4837952,83,6:08:00,6:08:00,25
4837952,84,6:09:00,6:09:00,26
4837952,4523,6:13:00,6:13:00,27
4837953,4523,5:09:00,5:09:00,1
4837953,163,5:10:00,5:10:00,2
4837953,164,5:12:00,5:12:00,3
4837953,165,5:13:00,5:13:00,4
4837953,166,5:14:00,5:14:00,5
4837953,1411,5:16:00,5:16:00,6
4837953,169,5:16:00,5:16:00,7
4837953,170,5:17:00,5:17:00,8
4837953,171,5:18:00,5:18:00,9
4837953,172,5:19:00,5:19:00,10
4837953,173,5:19:00,5:19:00,11
4837953,174,5:20:00,5:20:00,12
4837953,175,5:20:00,5:20:00,13
4837953,176,5:21:00,5:21:00,14
4837953,177,5:22:00,5:22:00,15
4837953,178,5:22:00,5:22:00,16
4837953,179,5:22:00,5:22:00,17
4837953,180,5:23:00,5:23:00,18
4837953,121,5:24:00,5:24:00,19
4837953,122,5:25:00,5:25:00,20
4837953,123,5:26:00,5:26:00,21
4837953,124,5:28:00,5:28:00,22
4837953,126,5:31:00,5:31:00,23
4837953,127,5:32:00,5:32:00,24
4837953,128,5:32:00,5:32:00,25
4837953,130,5:33:00,5:33:00,26
4837953,131,5:36:00,5:36:00,27
4837953,181,5:38:00,5:38:00,28
4837953,45,5:41:00,5:41:00,29
4837954,4523,22:25:00,22:25:00,1
4837954,163,22:26:00,22:26:00,2
4837954,164,22:28:00,22:28:00,3
4837954,165,22:29:00,22:29:00,4
4837954,166,22:30:00,22:30:00,5
4837954,1411,22:32:00,22:32:00,6
4837954,169,22:32:00,22:32:00,7
4837954,170,22:33:00,22:33:00,8
4837954,171,22:34:00,22:34:00,9
4837954,172,22:35:00,22:35:00,10
4837954,173,22:35:00,22:35:00,11
4837954,174,22:36:00,22:36:00,12
4837954,175,22:36:00,22:36:00,13
4837954,176,22:37:00,22:37:00,14
4837954,177,22:38:00,22:38:00,15
4837954,178,22:38:00,22:38:00,16
4837954,179,22:38:00,22:38:00,17
4837954,180,22:39:00,22:39:00,18
4837954,121,22:40:00,22:40:00,19
4837954,122,22:41:00,22:41:00,20
4837954,123,22:42:00,22:42:00,21
4837954,124,22:44:00,22:44:00,22
4837954,126,22:47:00,22:47:00,23
4837954,127,22:49:00,22:49:00,24
4837954,128,22:50:00,22:50:00,25
4837954,130,22:51:00,22:51:00,26
4837954,131,22:54:00,22:54:00,27
4837954,132,22:55:00,22:55:00,28
4837954,133,22:56:00,22:56:00,29
4837954,135,22:58:00,22:58:00,30
4837954,137,23:00:00,23:00:00,31
4837954,138,23:00:00,23:00:00,32
4837954,139,23:01:00,23:01:00,33
4837954,140,23:02:00,23:02:00,34
4837954,141,23:03:00,23:03:00,35
4837954,142,23:04:00,23:04:00,36
4837954,143,23:05:00,23:05:00,37
4837954,144,23:06:00,23:06:00,38
4837954,145,23:07:00,23:07:00,39
4837954,147,23:09:00,23:09:00,40
4837954,148,23:12:00,23:12:00,41
4837954,4255,23:13:00,23:13:00,42
4837954,150,23:14:00,23:14:00,43
4837954,151,23:15:00,23:15:00,44
4837954,152,23:17:00,23:17:00,45
4837954,153,23:18:00,23:18:00,46
4837954,154,23:19:00,23:19:00,47
4837954,4771,23:20:00,23:20:00,48
4837954,156,23:20:00,23:20:00,49
4837954,1861,23:21:00,23:21:00,50
4837954,235,23:22:00,23:22:00,51
4837954,4542,23:23:00,23:23:00,52
4837954,4543,23:24:00,23:24:00,53
4837954,4544,23:25:00,23:25:00,54
4837954,4016,23:25:00,23:25:00,55
4837955,4523,21:52:00,21:52:00,1
4837955,163,21:53:00,21:53:00,2
4837955,164,21:55:00,21:55:00,3
4837955,165,21:56:00,21:56:00,4
4837955,166,21:57:00,21:57:00,5
4837955,1411,21:59:00,21:59:00,6
4837955,169,21:59:00,21:59:00,7
4837955,170,22:00:00,22:00:00,8
4837955,171,22:01:00,22:01:00,9
4837955,172,22:02:00,22:02:00,10
4837955,173,22:02:00,22:02:00,11
4837955,174,22:03:00,22:03:00,12
4837955,175,22:03:00,22:03:00,13
4837955,176,22:04:00,22:04:00,14
4837955,177,22:05:00,22:05:00,15
4837955,178,22:05:00,22:05:00,16
4837955,179,22:05:00,22:05:00,17
4837955,180,22:06:00,22:06:00,18
4837955,121,22:07:00,22:07:00,19
4837955,122,22:08:00,22:08:00,20
4837955,123,22:09:00,22:09:00,21
4837955,124,22:11:00,22:11:00,22
4837955,126,22:14:00,22:14:00,23
4837955,127,22:16:00,22:16:00,24
4837955,128,22:17:00,22:17:00,25
4837955,130,22:18:00,22:18:00,26
4837955,131,22:21:00,22:21:00,27
4837955,132,22:22:00,22:22:00,28
4837955,133,22:23:00,22:23:00,29
4837955,135,22:25:00,22:25:00,30
4837955,137,22:27:00,22:27:00,31
4837955,138,22:27:00,22:27:00,32
4837955,139,22:28:00,22:28:00,33
4837955,140,22:29:00,22:29:00,34
4837955,141,22:30:00,22:30:00,35
4837955,142,22:31:00,22:31:00,36
4837955,143,22:32:00,22:32:00,37
4837955,144,22:33:00,22:33:00,38
4837955,145,22:34:00,22:34:00,39
4837955,147,22:36:00,22:36:00,40
4837955,148,22:39:00,22:39:00,41
4837955,4255,22:40:00,22:40:00,42
4837955,150,22:41:00,22:41:00,43
4837955,151,22:42:00,22:42:00,44
4837955,152,22:44:00,22:44:00,45
4837955,153,22:45:00,22:45:00,46
4837955,154,22:46:00,22:46:00,47
4837955,4771,22:47:00,22:47:00,48
4837955,156,22:47:00,22:47:00,49
4837955,1861,22:48:00,22:48:00,50
4837955,235,22:49:00,22:49:00,51
4837955,4542,22:50:00,22:50:00,52
4837955,4543,22:51:00,22:51:00,53
4837955,4544,22:52:00,22:52:00,54
