trip_id,stop_id,arrival_time,departure_time,stop_sequence
4845765,4523,6:29:00,6:29:00,1
4845765,163,6:30:00,6:30:00,2
4845765,165,6:33:00,6:33:00,3
4845765,1411,6:36:00,6:36:00,4
4845765,172,6:39:00,6:39:00,5
4845765,176,6:42:00,6:42:00,6
4845765,180,6:44:00,6:44:00,7
4845765,124,6:48:00,6:48:00,8
4845765,997,6:50:00,6:50:00,9
4845765,4400,6:52:00,6:52:00,10
4845765,131,6:54:00,6:54:00,11
4845765,133,6:57:00,6:57:00,12
4845765,137,7:01:00,7:01:00,13
4845765,142,7:01:00,7:01:00,14
4845765,4649,7:04:00,7:04:00,15
4845765,150,7:09:00,7:09:00,16
4845765,152,7:11:00,7:11:00,17
4845765,154,7:13:00,7:13:00,18
4845765,183,7:15:00,7:15:00,19
4845765,184,7:15:00,7:15:00,20
4845765,89,7:16:00,7:16:00,21
4845765,90,7:17:00,7:17:00,22
4845765,91,7:17:00,7:17:00,23
4845765,92,7:18:00,7:18:00,24
4845765,93,7:18:00,7:18:00,25
4845765,94,7:18:00,7:18:00,26
4845765,95,7:19:00,7:19:00,27
4845765,237,7:19:00,7:19:00,28
4845765,238,7:20:00,7:20:00,29
4845765,4591,7:20:00,7:20:00,30
4845765,240,7:21:00,7:21:00,31
4845765,241,7:22:00,7:22:00,32
4845765,242,7:22:00,7:22:00,33
4845765,244,7:23:00,7:23:00,34
4845765,246,7:24:00,7:24:00,35
4845765,247,7:24:00,7:24:00,36
4845765,248,7:25:00,7:25:00,37
4845765,4040,7:26:00,7:26:00,38
4845765,4104,7:28:00,7:28:00,39
4845766,4523,9:40:00,9:40:00,1
4845766,163,9:41:00,9:41:00,2
4845766,165,9:44:00,9:44:00,3
4845766,1411,9:46:00,9:46:00,4
4845766,172,9:49:00,9:49:00,5
4845766,176,9:52:00,9:52:00,6
4845766,180,9:54:00,9:54:00,7
4845766,124,9:58:00,9:58:00,8
4845766,997,10:00:00,10:00:00,9
4845766,4400,10:02:00,10:02:00,10
4845766,131,10:04:00,10:04:00,11
4845766,133,10:07:00,10:07:00,12
4845766,137,10:11:00,10:11:00,13
4845766,142,10:11:00,10:11:00,14
4845766,4649,10:14:00,10:14:00,15
4845766,150,10:19:00,10:19:00,16
4845766,152,10:21:00,10:21:00,17
4845766,154,10:23:00,10:23:00,18
4845766,183,10:25:00,10:25:00,19
4845766,184,10:26:00,10:26:00,20
4845766,89,10:27:00,10:27:00,21
4845766,90,10:28:00,10:28:00,22
4845766,91,10:28:00,10:28:00,23
4845766,92,10:28:00,10:28:00,24
4845766,93,10:29:00,10:29:00,25
4845766,94,10:29:00,10:29:00,26
4845766,95,10:30:00,10:30:00,27
4845766,237,10:30:00,10:30:00,28
4845766,238,10:31:00,10:31:00,29
4845766,4591,10:31:00,10:31:00,30
4845766,240,10:32:00,10:32:00,31
4845766,241,10:33:00,10:33:00,32
4845766,242,10:33:00,10:33:00,33
4845766,244,10:34:00,10:34:00,34
4845766,246,10:35:00,10:35:00,35
4845766,247,10:35:00,10:35:00,36
4845766,248,10:36:00,10:36:00,37
4845766,4040,10:37:00,10:37:00,38
4845766,4104,10:39:00,10:39:00,39
4845767,4523,10:46:00,10:46:00,1
4845767,163,10:47:00,10:47:00,2
4845768,163,10:47:00,10:47:00,2
4845768,165,10:50:00,10:50:00,3
4845768,1411,10:52:00,10:52:00,4
4845768,172,10:55:00,10:55:00,5
4845768,176,10:58:00,10:58:00,6
4845768,180,11:00:00,11:00:00,7
4845768,124,11:04:00,11:04:00,8
4845768,997,11:06:00,11:06:00,9
4845768,4400,11:08:00,11:08:00,10
4845768,131,11:10:00,11:10:00,11
4845768,133,11:13:00,11:13:00,12
4845768,137,11:17:00,11:17:00,13
4845768,142,11:17:00,11:17:00,14
4845768,4649,11:21:00,11:21:00,15
4845768,150,11:25:00,11:25:00,16
4845768,152,11:28:00,11:28:00,17
4845768,154,11:30:00,11:30:00,18
4845768,183,11:32:00,11:32:00,19
4845768,184,11:33:00,11:33:00,20
4845768,89,11:34:00,11:34:00,21
4845768,90,11:35:00,11:35:00,22
4845768,91,11:35:00,11:35:00,23
4845768,92,11:35:00,11:35:00,24
4845768,93,11:36:00,11:36:00,25
4845768,94,11:36:00,11:36:00,26
4845768,95,11:37:00,11:37:00,27
4845768,237,11:37:00,11:37:00,28
4845768,238,11:38:00,11:38:00,29
4845768,4591,11:38:00,11:38:00,30
4845768,240,11:39:00,11:39:00,31
4845768,241,11:40:00,11:40:00,32
4845768,242,11:40:00,11:40:00,33
4845768,244,11:41:00,11:41:00,34
4845768,246,11:42:00,11:42:00,35
